id,downloads,library_name,base_model,dataset_deps
Qwen/Qwen2.5-7B-Instruct,20083761,transformers,Qwen/Qwen2.5-7B,[]
alana89/TabSTAR,14884063,未知框架,['intfloat/e5-small-v2'],[]
cross-encoder/ms-marco-MiniLM-L6-v2,13072987,sentence-transformers,['cross-encoder/ms-marco-MiniLM-L12-v2'],['sentence-transformers/msmarco']
Xenova/paraphrase-multilingual-MiniLM-L12-v2,12226447,transformers.js,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,[]
Qwen/Qwen3-0.6B,11202195,transformers,['Qwen/Qwen3-0.6B-Base'],[]
hexgrad/Kokoro-82M,9997405,未知框架,['yl4579/StyleTTS2-LJSpeech'],[]
Kijai/WanVideo_comfy,9186360,diffusion-single-file,"['Wan-AI/Wan2.1-VACE-14B', 'Wan-AI/Wan2.1-VACE-1.3B']",[]
dima806/fairface_age_image_detection,7290417,transformers,['google/vit-base-patch16-224-in21k'],['nateraw/fairface']
Qwen/Qwen2.5-1.5B-Instruct,7223269,transformers,Qwen/Qwen2.5-1.5B,[]
Qwen/Qwen2.5-0.5B-Instruct,7031691,transformers,Qwen/Qwen2.5-0.5B,[]
meta-llama/Llama-3.1-8B-Instruct,7006483,transformers,meta-llama/Meta-Llama-3.1-8B,[]
Qwen/Qwen2.5-3B-Instruct,6549539,transformers,Qwen/Qwen2.5-3B,[]
Qwen/Qwen3-1.7B,6069688,transformers,['Qwen/Qwen3-1.7B-Base'],[]
Qwen/Qwen3-8B,5844810,transformers,['Qwen/Qwen3-8B-Base'],[]
Qwen/Qwen3-4B,5337795,transformers,['Qwen/Qwen3-4B-Base'],[]
dphn/dolphin-2.9.1-yi-1.5-34b,4644381,transformers,01-ai/Yi-1.5-34B,"['cognitivecomputations/Dolphin-2.9', 'teknium/OpenHermes-2.5', 'm-a-p/CodeFeedback-Filtered-Instruction', 'cognitivecomputations/dolphin-coder', 'cognitivecomputations/samantha-data', 'microsoft/orca-math-word-problems-200k', 'Locutusque/function-calling-chatml', 'internlm/Agent-FLAN']"
Qwen/Qwen3-Embedding-0.6B,4378898,sentence-transformers,['Qwen/Qwen3-0.6B-Base'],[]
openai/whisper-large-v3-turbo,4110753,transformers,['openai/whisper-large-v3'],[]
mlx-community/Kimi-K2.5,4014226,mlx,moonshotai/Kimi-K2.5,[]
Qwen/Qwen2.5-32B-Instruct,3935435,transformers,Qwen/Qwen2.5-32B,[]
